Employer,Continuing Approval,Initial Approval
AMAZON,17223,6402
TATA GROUP,7366,2854
GOOGLE LLC,6876,1562
META,6182,1548
MICROSOFT,6201,1008
INFOSYS,4003,3152
COGNIZANT,3614,2509
APPLE,4116,930
DELOITTE,3579,707
INTEL,2784,861
JPMORGAN CHASE,2711,420
CAPGEMINI AMERICA,2038,1090
IBM,1836,1238
ERNST & YOUNG US,2312,697
HCL (HINDUSTAN),1803,1170
ORACLE AMERICA INC,2258,462
WAL-MART,2272,392
PWC,2176,429
CISCO SYSTEMS,2239,326
